First Name [Required],Last Name [Required],Email Address [Required],Password [Required],Password Hash Function [UPLOAD ONLY],Org Unit Path [Required],New Primary Email [UPLOAD ONLY],Recovery Email,Home Secondary Email,Work Secondary Email,Recovery Phone [MUST BE IN THE E.164 FORMAT],Work Phone,Home Phone,Mobile Phone,Work Address,Home Address,Employee ID,Employee Type,Employee Title,Manager Email,Department,Cost Center,Building ID,Floor Name,Floor Section,Change Password at Next Sign-In,New Status [UPLOAD ONLY],Advanced Protection Program enrollment
Nathaniel,Fox,nathaniel.fox867@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Jasmine,Oconnor,jasmine.oconnor877@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Lori,Gray,lori.gray701@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Douglas,Huerta,douglas.huerta176@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Derek,Davis,derek.davis760@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Yolanda,Kramer,yolanda.kramer382@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Pamela,Martinez,pamela.martinez203@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Rachel,Blair,rachel.blair912@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Kimberly,Baker,kimberly.baker713@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Maria,Brown,maria.brown545@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Nina,Morrison,nina.morrison663@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Timothy,Gay,timothy.gay672@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Bobby,Craig,bobby.craig687@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Stephen,Webster,stephen.webster463@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Candace,Moore,candace.moore533@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Anne,Martin,anne.martin92@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Connor,Kim,connor.kim892@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Kimberly,Wolf,kimberly.wolf382@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Shelly,Montoya,shelly.montoya11@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Kelly,Olsen,kelly.olsen150@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Chelsea,Johnson,chelsea.johnson139@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Daniel,Peterson,daniel.peterson255@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Joy,Smith,joy.smith330@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Timothy,Mccormick,timothy.mccormick809@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Jennifer,Palmer,jennifer.palmer725@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Jose,Gibson,jose.gibson570@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Jessica,Dunn,jessica.dunn910@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Gabriel,Payne,gabriel.payne615@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Jonathan,Dunlap,jonathan.dunlap485@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Kimberly,Smith,kimberly.smith751@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Robert,Hayden,robert.hayden710@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
James,Robinson,james.robinson425@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Heather,Cox,heather.cox971@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Donna,Simmons,donna.simmons752@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Patricia,Cooper,patricia.cooper639@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Daniel,Taylor,daniel.taylor871@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Janice,Travis,janice.travis332@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Carol,Petersen,carol.petersen303@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Laura,Brooks,laura.brooks607@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Charles,Johnson,charles.johnson231@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Ashley,Lewis,ashley.lewis567@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Monica,Berry,monica.berry219@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Kimberly,Harris,kimberly.harris342@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Carolyn,Lane,carolyn.lane507@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Keith,White,keith.white177@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Barbara,Webb,barbara.webb593@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Nicholas,Caldwell,nicholas.caldwell185@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Kayla,Guzman,kayla.guzman128@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Heather,Cooper,heather.cooper397@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Jacqueline,Frazier,jacqueline.frazier881@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Jacob,Huff,jacob.huff881@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Douglas,Kim,douglas.kim430@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Yolanda,Harding,yolanda.harding168@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Christian,Coleman,christian.coleman142@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Jennifer,Young,jennifer.young898@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Ryan,Mayo,ryan.mayo398@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Ryan,Moreno,ryan.moreno54@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Laura,Reid,laura.reid636@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
